trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6570468198150567}",25,0,-144.38316245973772,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
43,False,"{'a': 0.5, 'e': 0.6505090947233165}",25,0,-53.88296609851112,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6440364210831414}",25,0,-121.20916772040025,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.6376281516217733}",20,0,-20.74789023454184,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.631283645506926}",20,0,-105.29499347215818,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.6250022682827008}",25,2,-134.11835611346072,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 3}",1
48,False,"{'a': 0.5, 'e': 0.6187833918061408}",30,0,-49.36176398490521,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.6126263941844161}",35,0,-84.20510583895884,"{0: 26, 1: 3, 2: 4, 3: 1, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,0,-112.73392328562377,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.6004955788122659}",25,8,-72.84748501801536,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,8,-10.856199066633938,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5886049696783552}",25,10,-10.62566250679062,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.5827482523739896}",20,0,-3.5524505115604983,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.5769498103804866}",35,0,-69.0104275294302,"{0: 28, 1: 1, 2: 5, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,11,-42.900830825310685,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.5655254386995371}",20,0,-31.641638947317773,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.559898366565402}",20,0,-21.890290418292533,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.5543272847345071}",30,12,-7.747791111113085,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.5488116360940265}",25,0,-38.37017045371472,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.5433508690744998}",20,0,9.341469506308565,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.5379444375946745}",20,0,-0.4966899900336821,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.5325918010068972}",20,0,-118.65998470208773,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.5272924240430485}",25,0,-49.179168555127205,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.522045776761016}",25,15,13.485267085347756,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5168513344916992}",25,7,8.94601937711058,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.5117085777865424}",25,17,-17.070192058868766,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.5066169923655895}",20,0,-48.30450028817247,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.5015760690660555}",20,4,12.908969509215602,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.49658530379140947}",20,11,-20.185794927988606,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.4916441974609651}",25,0,1.8017851156358022,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,0,-4.339337878231252,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.48190899009020244}",30,0,-29.405806699377464,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.4771139155210344}",25,0,-74.2822943552086,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.4723665527410147}",30,18,-36.28691022578927,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
76,False,"{'a': 0.5, 'e': 0.46766642700990924}",25,8,-78.6523160011281,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 2}",1
77,False,"{'a': 0.5, 'e': 0.46301306831122807}",20,13,10.457576602532356,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.4584060113052235}",30,8,-86.71044680729412,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 2}",1
79,False,"{'a': 0.5, 'e': 0.45384479528235583}",20,0,8.343144907030059,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.44932896411722156}",30,3,11.711319821091028,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.4448580662229411}",30,8,-72.69039603772607,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.44043165450599925}",25,12,-3.5310338288812906,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.43604928632153556}",20,0,-59.27921398627273,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.43171052342907973}",25,14,-15.968481441592624,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.4274149319487267}",20,3,-69.31688627550668,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
86,False,"{'a': 0.5, 'e': 0.4231620823177488}",25,0,14.668905060741643,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.418951549247639}",20,6,-49.57107101847469,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.4147829116815814}",20,9,5.973981416108817,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.4106557527523455}",20,9,-30.64229487549752,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.5, 'e': 0.4065696597405991}",25,15,-3.3200436376830895,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.40252422403363597}",25,0,-52.49399261135557,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.39851904108451414}",35,12,-34.33282028786186,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.3945537103716011}",30,10,12.449323815153424,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3906278353585211}",20,12,-36.72622874777525,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.3867410234545012}",20,0,-50.38271070348725,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.38289288597511206}",20,0,-14.309809028574845,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.37908303810339883}",30,8,-35.04336588900343,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.37531109885139957}",30,16,-83.47496119283781,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
99,False,"{'a': 0.5, 'e': 0.3715766910220457}",20,1,19.366388138570272,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,7,-28.503515477478537,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.3642189795715233}",20,4,-17.126532297124292,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.3605949401730783}",25,10,-3.5210393913982116,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.3570069605691474}",20,11,11.034060620764928,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.35345468195878016}",20,13,5.8618191574135246,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.3499377491111553}",20,10,-24.45977286152555,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
106,False,"{'a': 0.5, 'e': 0.3464558103300574}",25,12,3.234735884896546,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.34300851741870664}",20,0,-12.888343982631318,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.3395955256449391}",25,13,8.857011579395696,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.33621649370673334}",25,0,11.382533803238543,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.33287108369807955}",20,7,-17.070495621584367,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.32955896107518906}",25,13,-44.836435807933896,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.32627979462303947}",35,22,-0.3089738536211386,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.3230332564222529}",25,0,-15.43361278836612,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.31981902181630384}",25,0,-27.474284091106934,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.31663676937905316}",20,6,-47.60143076621011,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.3134861808826053}",30,0,-8.1479446248409,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.31036694126548503}",20,15,8.174200601283266,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.30727873860113125}",25,13,-27.98794580292742,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
